2025-04-09 13:36:27 | CPU: 4.9% | RAM: 46.4% | Festplatte: 63.8%
2025-04-09 13:36:30 | CPU: 3.7% | RAM: 46.4% | Festplatte: 63.8%
2025-04-09 13:36:34 | CPU: 11.0% | RAM: 46.5% | Festplatte: 63.8%
2025-04-09 13:36:37 | CPU: 14.6% | RAM: 46.4% | Festplatte: 63.8%
2025-04-09 13:40:09 | CPU: 10.2% | RAM: 46.7% | Festplatte: 63.8%
2025-04-09 13:40:12 | CPU: 7.0% | RAM: 46.6% | Festplatte: 63.8%
2025-04-09 13:40:16 | CPU: 8.5% | RAM: 46.5% | Festplatte: 63.8%
2025-04-09 13:40:19 | CPU: 2.9% | RAM: 46.5% | Festplatte: 63.8%
2025-04-09 13:40:22 | CPU: 5.3% | RAM: 46.4% | Festplatte: 63.8%
2025-04-09 13:40:26 | CPU: 5.7% | RAM: 46.4% | Festplatte: 63.8%
2025-04-09 13:41:49 | CPU: 12.2% | RAM: 50.5% | Festplatte: 63.8%
2025-04-09 13:41:52 | CPU: 11.0% | RAM: 50.4% | Festplatte: 63.8%
2025-04-09 13:42:04 | CPU: 14.4% | RAM: 50.3% | Festplatte: 63.8%
2025-04-09 13:42:08 | CPU: 10.7% | RAM: 50.3% | Festplatte: 63.8%
2025-04-09 13:42:10 | CPU: 11.6% | RAM: 50.4% | Festplatte: 63.8%
2025-04-09 13:42:35 | CPU: 12.3% | RAM: 50.4% | Festplatte: 63.8%
2025-04-09 13:42:38 | CPU: 10.4% | RAM: 50.5% | Festplatte: 63.8%
2025-04-09 13:42:41 | CPU: 9.2% | RAM: 50.4% | Festplatte: 63.8%
2025-04-09 13:42:44 | CPU: 9.4% | RAM: 50.3% | Festplatte: 63.8%
2025-04-09 13:42:51 | CPU: 10.4% | RAM: 50.3% | Festplatte: 63.8%
2025-04-09 14:17:26 | CPU: 7.2% | RAM: 64.8% | Festplatte: 85.0%
2025-04-09 14:18:12 | CPU: 14.4% | RAM: 64.4% | Festplatte: 85.0%
2025-04-09 14:42:12 | CPU: 10.6% | RAM: 63.1% | Festplatte: 85.0%
